Symbol,Price~,Type,Strike,Expires,DTE,"Bid x Size","Ask x Size",Trade,Size,Side,Premium,Volume,"Open Int",IV,Delta,Code,*,Time
COIN,233.21,Put,340,2026-01-16T16:30:00-06:00,17,"105.40 x 225","108.30 x 236",105.5,4250,mid,44837500,4252,427,86.01%,-0.9796087874,SLFT,ToOpen,"14:32:41 ET"
MSTR,156.15,Put,370,2026-02-20T16:30:00-06:00,52,"212.20 x 112","214.65 x 2",214.64,2060,mid,44215800,2730,180,128.21%,-0.9493759583,MLFT,ToOpen,"15:45:00 ET"
COIN,232.61,Put,370,2026-01-16T16:30:00-06:00,17,"133.40 x 274","140.55 x 181",140.55,3060,ask,43008300,7060,379,153.95%,-0.8921787884,MLFT,N/A,"15:35:56 ET"
MSTR,156.257,Put,370,2026-01-16T16:30:00-06:00,17,"212.50 x 149","215.00 x 175",213.5,2000,mid,42700000,3610,202,0.00%,0,SLFT,ToOpen,"15:50:50 ET"
AXON,572.725,Put,740,2026-01-16T16:30:00-06:00,17,"163.50 x 5","170.00 x 5",163.5,2610,bid,42673500,2990,74,0.00%,0,MLFT,SellToOpen,"15:38:07 ET"
CAR,128.705,Put,185,2026-01-16T16:30:00-06:00,17,"54.90 x 1","57.20 x 31",54.9,7630,bid,41888700,7630,2001,0.00%,0,MLFT,SellToOpen,"15:35:08 ET"
ARM,110.965,Put,160,2026-01-16T16:30:00-06:00,17,"47.50 x 123","50.30 x 139",48.95,8000,mid,39160000,12640,1075,0.00%,0,SLFT,ToOpen,"14:32:31 ET"
MSTR,156.257,Put,370,2026-02-20T16:30:00-06:00,52,"212.40 x 70","215.00 x 61",213.95,1800,mid,38511000,4530,180,115.24%,-0.9761381769,SLFT,N/A,"15:50:50 ET"
MSTR,156.15,Put,400,2026-01-16T16:30:00-06:00,17,"243.35 x 2","244.55 x 2",244.55,1560,ask,38149800,1561,105,220.12%,-0.9623906528,MLFT,BuyToOpen,"15:45:04 ET"
RDDT,234.68,Put,150,2028-06-16T16:30:00-05:00,899,"34.75 x 203","37.85 x 124",37.85,10000,ask,37850000,10000,3,69.70%,-0.156581439,TLCT,BuyToOpen,"11:02:35 ET"
ADBE,353.08,Put,410,2026-01-16T16:30:00-06:00,17,"53.25 x 118","60.55 x 112",60.54,6150,mid,37232100,12445,694,65.87%,-0.8369289389,MLFT,N/A,"15:35:13 ET"
BABA,147.71,Put,190,2026-01-16T16:30:00-06:00,17,"40.50 x 372","43.55 x 276",41.7,8695,mid,36258100,27200,2588,58.45%,-0.975697131,SLFT,N/A,"14:32:33 ET"
MSTR,156.32,Put,320,2026-01-16T16:30:00-06:00,17,"163.35 x 5","164.45 x 5",164.45,2190,ask,36014500,2190,293,179.11%,-0.9543859251,MLFT,BuyToOpen,"15:46:50 ET"
LULU,211.33,Put,350,2026-01-16T16:30:00-06:00,17,"135.45 x 28","141.00 x 31",141,2550,ask,35955000,6710,355,156.49%,-0.9088113155,MLFT,N/A,"15:45:51 ET"
PLTR,183.4101,Call,160,2026-03-20T16:30:00-05:00,80,"32.75 x 87","33.10 x 285",32.9,10822,mid,35604300,10855,33097,56.67%,0.75111970642835,SLCN,N/A,"12:31:59 ET"
ARM,110.965,Put,150,2026-01-16T16:30:00-06:00,17,"37.30 x 109","40.35 x 132",38.95,9000,mid,35055000,12838,889,0.00%,0,SLFT,ToOpen,"14:32:31 ET"
TSLA,455.935,Put,510,2026-01-02T16:30:00-06:00,3,"53.20 x 67","54.50 x 3",53.2,6500,bid,34580000,9568,1704,68.56%,-0.9632801436,MLFT,SellToOpen,"15:40:48 ET"
