Symbol,Price~,Type,Strike,Expires,DTE,"Bid x Size","Ask x Size",Trade,Size,Side,Premium,Volume,"Open Int",IV,Delta,Code,*,Time
CRCL,80.04,Put,130,2026-01-16T16:30:00-06:00,17,"48.60 x 670","50.80 x 392",50.8,3310,ask,16814800,3312,990,150.54%,-0.9096912454,MLFT,BuyToOpen,"15:40:30 ET"
NKE,61.165,Put,77.5,2026-01-16T16:30:00-06:00,17,"14.55 x 726","17.55 x 517",16.15,10400,mid,16795900,10400,1013,83.71%,-0.888665208,SLFT,ToOpen,"14:33:24 ET"
COST,867.15,Put,940,2026-01-16T16:30:00-06:00,17,"68.55 x 22","76.55 x 31",68.55,2450,bid,16794700,3454,366,0.00%,0,MLFT,SellToOpen,"15:39:15 ET"
CRWD,476.55,Put,560,2026-01-16T16:30:00-06:00,17,"81.00 x 29","85.95 x 29",82.13,2030,mid,16672300,2030,46,36.95%,-0.9904484889,MLFT,ToOpen,"15:37:50 ET"
CI,276.305,Put,380,2026-01-16T16:30:00-06:00,17,"102.80 x 8","105.60 x 74",104.19,1600,mid,16670400,2000,42,79.63%,-0.963357897,MLFT,ToOpen,"14:32:38 ET"
META,666.56,Put,800,2026-01-16T16:30:00-06:00,17,"131.65 x 140","135.00 x 153",135,1220,ask,16470000,2757,109,54.73%,-0.9355983021,MLFT,N/A,"15:42:50 ET"
BABA,147.71,Put,180,2026-01-16T16:30:00-06:00,17,"30.75 x 333","32.70 x 215",31.5,5225,mid,16458700,14727,1187,0.00%,0,SLFT,N/A,"14:32:33 ET"
TSLA,455.935,Put,515,2026-01-02T16:30:00-06:00,3,"57.95 x 75","60.50 x 75",59.05,2760,mid,16297800,2761,308,70.84%,-0.9704258941,MLFT,ToOpen,"15:40:48 ET"
ADBE,353.811,Put,410,2026-01-16T16:30:00-06:00,17,"53.25 x 60","60.55 x 78",56.85,2845,mid,16173800,5095,694,47.01%,-0.9243272303,SLFT,N/A,"14:32:22 ET"
MRNA,30.9,Put,165,2026-01-16T16:30:00-06:00,17,"132.50 x 744","135.50 x 552",133.83,1200,mid,16059600,4000,463,0.00%,0,MLFT,N/A,"14:47:57 ET"
AAPL,273.13,Call,220,2027-01-15T16:30:00-06:00,381,"68.90 x 600","69.25 x 95",68.9,2328,bid,16039900,2501,4530,30.53%,0.8265837463812,MLET,N/A,"15:51:26 ET"
META,667.12,Put,760,2026-01-16T16:30:00-06:00,17,"91.65 x 50","94.70 x 39",93.45,1700,mid,15886500,2371,168,32.22%,-0.9799776651,SLFT,ToOpen,"14:33:33 ET"
NFLX,93.915,Put,116,2026-01-16T16:30:00-06:00,17,"20.40 x 901","24.15 x 864",22.85,6925,mid,15823600,10510,864,0.00%,0,SLFT,ToOpen,"14:33:26 ET"
AAPL,273.16,Put,290,2026-01-02T16:30:00-06:00,3,"16.45 x 161","17.05 x 133",16.45,9570,bid,15742600,21300,1652,0.00%,0,MLFT,N/A,"15:33:22 ET"
MSTR,156.32,Put,310,2026-01-16T16:30:00-06:00,17,"152.40 x 106","154.50 x 6",152.4,1030,bid,15697200,1030,159,132.51%,-0.9950384176,MLFT,SellToOpen,"15:46:50 ET"
NVDA,187.36,Call,160,2026-03-20T16:30:00-05:00,80,"33.45 x 679","33.95 x 296",33.6,4625,mid,15540000,4649,109282,47.13%,0.80572045357668,SLCN,N/A,"10:01:46 ET"
SBUX,85.455,Put,115,2026-01-16T16:30:00-06:00,17,"27.75 x 255","31.20 x 363",29.63,5200,mid,15407600,10380,851,85.07%,-0.9368015051,MLFT,N/A,"14:33:10 ET"
HD,346.682,Put,390,2026-01-16T16:30:00-06:00,17,"42.30 x 89","45.30 x 113",43.9,3500,mid,15365000,5073,338,26.58%,-0.9830830385,SLFT,ToOpen,"14:33:40 ET"
MSTR,156.32,Put,200,2026-01-02T16:30:00-06:00,3,"43.30 x 81","44.50 x 101",44.5,3410,ask,15174500,3643,888,181.75%,-0.9214153123,MLFT,BuyToOpen,"15:46:25 ET"
NFLX,93.805,Put,110,2026-01-16T16:30:00-06:00,17,"15.55 x 1150","16.30 x 60",16.09,9400,mid,15124600,47134,5715,0.00%,0,MLFT,N/A,"15:36:21 ET"
CI,276.485,Put,350,2026-01-16T16:30:00-06:00,17,"72.80 x 5","75.40 x 78",72.8,2060,bid,14996800,4060,255,63.90%,-0.9511866541,MLFT,N/A,"15:35:30 ET"
AAPL,273.13,Call,210,2026-01-16T16:30:00-06:00,17,"62.95 x 234","64.20 x 942",64.2,2328,ask,14945700,2514,13799,73.72%,0.95900494401982,MLET,N/A,"15:51:26 ET"
ARM,110.965,Put,150,2026-01-16T16:30:00-06:00,17,"37.30 x 109","40.35 x 132",38.79,3835,mid,14875900,12838,889,0.00%,0,MLFT,N/A,"14:32:29 ET"
CI,276.305,Put,350,2026-01-16T16:30:00-06:00,17,"72.80 x 7","75.60 x 98",74.19,2000,mid,14838000,2000,255,62.46%,-0.9559497317,MLFT,ToOpen,"14:32:38 ET"
MSTR,156.15,Put,450,2026-01-16T16:30:00-06:00,17,"292.40 x 34","294.50 x 6",294.5,500,ask,14725000,500,26,240.24%,-0.966293846,MLFT,BuyToOpen,"15:45:04 ET"
NFLX,93.915,Put,109,2026-01-16T16:30:00-06:00,17,"14.85 x 35","15.95 x 194",14.9,9850,mid,14676500,10066,1232,50.22%,-0.9095029578,SLFT,ToOpen,"14:33:26 ET"
TSLA,455.935,Put,510,2026-01-02T16:30:00-06:00,3,"53.20 x 67","54.50 x 3",53.21,2750,mid,14632700,9568,1704,68.56%,-0.9632801436,MLFT,N/A,"15:40:48 ET"
NFLX,93.915,Put,122,2026-01-16T16:30:00-06:00,17,"26.50 x 1197","29.45 x 1347",27.85,5200,mid,14482000,7945,656,73.72%,-0.9451715278,SLFT,ToOpen,"14:33:26 ET"
PDD,114,Put,150,2026-01-16T16:30:00-06:00,17,"34.00 x 157","37.90 x 151",36,4000,mid,14400000,6295,500,0.00%,0,SLFT,ToOpen,"14:33:18 ET"
GOOGL,314.06,Call,260,2026-02-20T16:30:00-06:00,52,"57.35 x 61","58.45 x 216",57.55,2500,mid,14387500,2520,10453,41.14%,0.90721370781235,SLCN,N/A,"11:59:49 ET"
MSTR,156.15,Put,370,2026-02-20T16:30:00-06:00,52,"212.20 x 112","214.65 x 2",214.65,670,ask,14381500,2730,180,128.21%,-0.9493759583,MLFT,N/A,"15:45:00 ET"
ADBE,353.811,Put,400,2026-01-16T16:30:00-06:00,17,"43.25 x 163","50.65 x 157",47.05,3035,mid,14279600,3042,773,40.97%,-0.9154327601,SLFT,ToOpen,"14:32:22 ET"
NFLX,93.915,Put,114,2026-01-16T16:30:00-06:00,17,"19.55 x 160","22.15 x 212",20.2,7065,mid,14271300,19990,1614,52.74%,-0.9564752923,SLFT,N/A,"14:33:28 ET"
CRCL,80.04,Put,140,2026-01-16T16:30:00-06:00,17,"57.50 x 685","61.25 x 349",61.25,2330,ask,14271200,5511,1207,182.46%,-0.8906976287,MLFT,N/A,"15:40:30 ET"
MSTR,156.15,Put,540,2026-01-16T16:30:00-06:00,17,"382.40 x 46","384.50 x 2",384.5,370,ask,14226500,370,19,273.66%,-0.9685737394,MLFT,BuyToOpen,"15:45:04 ET"
TMUS,204.055,Put,230,2026-01-16T16:30:00-06:00,17,"24.75 x 80","27.45 x 115",26.3,5405,mid,14215100,13760,708,36.42%,-0.9330824813,SLFT,N/A,"15:42:05 ET"
ARM,111.05,Put,160,2026-01-16T16:30:00-06:00,17,"47.50 x 110","50.30 x 119",47.5,2950,bid,14012500,15590,1075,0.00%,0,MLFT,N/A,"15:33:24 ET"
META,667.12,Put,800,2026-01-16T16:30:00-06:00,17,"131.40 x 110","134.55 x 122",132.7,1050,mid,13933500,1537,109,41.96%,-0.985073179,SLFT,ToOpen,"14:33:33 ET"
ARM,110.965,Put,160,2026-01-16T16:30:00-06:00,17,"47.50 x 123","50.30 x 139",48.94,2840,mid,13898900,12640,1075,0.00%,0,MLFT,N/A,"14:32:29 ET"
TSM,299.95,Call,200,2026-03-20T16:30:00-05:00,80,"101.75 x 371","103.25 x 251",102.52,1353,mid,13870900,1354,3522,55.38%,0.95526642286982,MLCT,N/A,"15:52:27 ET"
MRNA,30.84,Put,100,2026-01-16T16:30:00-06:00,17,"67.45 x 181","70.95 x 187",68.98,2000,mid,13796000,2000,0,237.64%,-0.9838569185,MLFT,ToOpen,"14:33:32 ET"
CRWV,74.155,Put,150,2026-01-16T16:30:00-06:00,17,"75.10 x 509","76.00 x 17",76,1810,ask,13756000,11010,763,160.00%,-0.9729383149,MLFT,N/A,"15:42:28 ET"
MSTR,156.257,Put,305,2026-01-16T16:30:00-06:00,17,"147.50 x 46","149.90 x 41",148.55,925,mid,13740800,1485,93,0.00%,0,SLFT,ToOpen,"15:51:01 ET"
ADBE,353.811,Put,580,2026-01-16T16:30:00-06:00,17,"223.00 x 30","229.90 x 30",226.35,600,mid,13581000,835,60,105.26%,-0.9869266928,SLFT,ToOpen,"14:32:24 ET"
CRWD,476.55,Put,550,2026-01-16T16:30:00-06:00,17,"71.35 x 84","76.30 x 61",71.36,1890,mid,13487000,3530,626,39.47%,-0.9585909809,MLFT,N/A,"15:37:50 ET"
MSTR,156.257,Put,290,2026-01-16T16:30:00-06:00,17,"132.50 x 41","134.90 x 41",133.55,1000,mid,13355000,1582,97,0.00%,0,SLFT,ToOpen,"15:51:01 ET"
HD,346.435,Put,380,2026-01-16T16:30:00-06:00,17,"32.30 x 45","34.20 x 43",33.3,4000,mid,13320000,9096,1457,0.00%,0,SLFT,N/A,"15:33:36 ET"
MSFT,488.43,Put,520,2026-01-16T16:30:00-06:00,17,"30.40 x 185","33.50 x 187",30.4,4380,bid,13315200,4515,538,19.49%,-0.9410537778,MLFT,SellToOpen,"15:41:38 ET"
MSTR,156.15,Put,520,2026-01-16T16:30:00-06:00,17,"362.40 x 38","364.50 x 6",364.5,360,ask,13122000,360,20,266.80%,-0.9677914774,MLFT,BuyToOpen,"15:45:04 ET"
ZS,228.03,Put,280,2026-01-16T16:30:00-06:00,17,"50.80 x 140","53.45 x 127",51.92,2525,mid,13109800,8525,594,51.98%,-0.9692818894,MLFT,N/A,"14:32:51 ET"
CRCL,80.43,Put,200,2026-01-16T16:30:00-06:00,17,"112.00 x 929","126.00 x 648",122.25,1065,mid,13019600,1065,261,301.13%,-0.8601247627,SLFT,ToOpen,"14:33:51 ET"
UNH,332.46,Put,600,2026-01-16T16:30:00-06:00,17,"264.65 x 41","270.10 x 46",270.09,480,mid,12964300,3615,98,139.40%,-0.9665295822,MLFT,N/A,"15:36:26 ET"
UNH,332.46,Put,590,2026-01-16T16:30:00-06:00,17,"253.80 x 45","261.20 x 46",254.17,510,mid,12962600,1390,38,145.56%,-0.9534936339,MLFT,N/A,"15:36:26 ET"
HD,346.55,Put,390,2026-01-16T16:30:00-06:00,17,"42.30 x 114","44.45 x 111",42.42,3030,mid,12853200,8773,338,0.00%,0,MLFT,N/A,"15:43:06 ET"
UNH,332.4,Put,510,2026-01-16T16:30:00-06:00,17,"176.00 x 84","178.60 x 84",176,730,bid,12848000,2820,68,0.00%,0,MLFT,N/A,"15:40:12 ET"
ADBE,353.811,Put,410,2026-01-16T16:30:00-06:00,17,"53.25 x 60","60.55 x 78",57.05,2250,mid,12836200,5095,694,47.01%,-0.9243272303,SLFT,N/A,"14:32:24 ET"
COST,865.9424,Put,960,2026-01-16T16:30:00-06:00,17,"90.70 x 29","98.80 x 34",95.05,1350,mid,12831700,1350,135,31.45%,-0.9383755493,SLFT,ToOpen,"14:32:46 ET"
UNH,332.92,Put,510,2026-01-16T16:30:00-06:00,17,"176.00 x 45","180.70 x 84",178.4,700,mid,12488000,1530,68,102.26%,-0.9672693392,MLFT,N/A,"14:32:57 ET"
ZS,227.71,Put,280,2026-01-16T16:30:00-06:00,17,"50.80 x 151","53.45 x 109",53.44,2330,mid,12451500,11965,594,69.46%,-0.9066300587,MLFT,N/A,"15:36:29 ET"
UPS,99.76,Put,130,2026-01-16T16:30:00-06:00,17,"28.10 x 775","32.15 x 462",29.75,4150,mid,12346200,4150,510,83.59%,-0.9142045934,SLFT,ToOpen,"14:32:54 ET"
PDD,114,Put,165,2026-01-16T16:30:00-06:00,17,"49.00 x 143","52.85 x 148",50.95,2400,mid,12228000,4220,347,0.00%,0,SLFT,ToOpen,"14:33:18 ET"
CRWV,74.78,Put,130,2026-01-16T16:30:00-06:00,17,"52.85 x 688","55.60 x 413",54.19,2255,mid,12219800,9475,828,0.00%,0,MLFT,N/A,"14:33:48 ET"
NOW,154.26,Put,188,2026-01-16T16:30:00-06:00,17,"32.60 x 256","35.50 x 286",34.1,3540,mid,12071400,10890,860,58.49%,-0.938327298,SLFT,N/A,"14:33:23 ET"
MSTR,155.815,Put,275,2026-01-16T16:30:00-06:00,17,"117.95 x 72","120.10 x 79",119.07,1000,mid,11907000,2510,102,0.00%,0,MLFT,N/A,"15:57:16 ET"
UNH,332.46,Put,600,2026-01-16T16:30:00-06:00,17,"264.65 x 41","270.10 x 46",270.1,440,ask,11884400,3615,98,139.40%,-0.9665295822,MLFT,N/A,"15:36:26 ET"
MSTR,156.257,Put,275,2026-01-16T16:30:00-06:00,17,"117.50 x 70","119.90 x 108",118.5,1000,mid,11850000,1510,102,0.00%,0,SLFT,ToOpen,"15:51:01 ET"
CRWD,476.55,Put,570,2026-01-16T16:30:00-06:00,17,"90.25 x 27","97.60 x 30",90.25,1310,bid,11822700,1310,29,48.36%,-0.9586759623,MLFT,SellToOpen,"15:37:50 ET"
STZ,139.74,Put,270,2026-01-16T16:30:00-06:00,17,"129.20 x 5","131.90 x 5",130.7,900,mid,11762900,900,172,154.39%,-0.966164456,SLFT,ToOpen,"14:33:06 ET"
UNH,332.4,Put,500,2026-01-16T16:30:00-06:00,17,"166.60 x 164","168.75 x 166",167.4,700,mid,11718000,7040,176,106.36%,-0.9529782445,SLFT,N/A,"15:38:13 ET"
UNH,332.92,Put,500,2026-01-16T16:30:00-06:00,17,"166.05 x 161","168.30 x 170",167.4,700,mid,11718000,3850,176,90.13%,-0.9791340937,MLFT,N/A,"14:32:58 ET"
NOW,154.26,Put,232,2026-01-16T16:30:00-06:00,17,"76.30 x 260","79.50 x 288",78.1,1500,mid,11714900,6060,500,99.82%,-0.9675461428,SLFT,N/A,"14:33:23 ET"
CRWD,476.55,Put,550,2026-01-16T16:30:00-06:00,17,"71.35 x 84","76.30 x 61",71.35,1640,bid,11701300,3530,626,39.47%,-0.9585909809,MLFT,N/A,"15:37:50 ET"
UNH,332.3304,Put,500,2026-01-16T16:30:00-06:00,17,"166.15 x 158","168.65 x 143",166.85,700,mid,11679500,1400,176,81.22%,-0.9901842352,SLFT,N/A,"12:27:12 ET"
UNH,332.46,Put,500,2026-01-16T16:30:00-06:00,17,"166.05 x 188","168.75 x 158",166.6,700,mid,11662000,4550,176,83.91%,-0.9873684752,SLFT,N/A,"15:38:01 ET"
COIN,233.21,Put,380,2026-01-16T16:30:00-06:00,17,"142.95 x 69","149.40 x 69",145.75,800,mid,11660000,800,79,0.00%,0,SLFT,ToOpen,"14:32:41 ET"
UNH,332.3304,Put,500,2026-01-16T16:30:00-06:00,17,"164.00 x 194","168.65 x 143",166.15,700,mid,11630500,1400,176,81.22%,-0.9901842352,SLFT,N/A,"12:27:00 ET"
NKE,61.165,Put,85,2026-01-16T16:30:00-06:00,17,"22.75 x 1028","25.05 x 1011",24.2,4800,mid,11616000,4805,596,98.91%,-0.9248069759,SLFT,ToOpen,"14:33:24 ET"
NOW,154.26,Put,204,2026-01-16T16:30:00-06:00,17,"48.60 x 253","51.50 x 282",50.1,2300,mid,11523000,3350,270,73.47%,-0.9586392122,SLFT,ToOpen,"14:33:21 ET"
NOW,154.26,Put,184,2026-01-16T16:30:00-06:00,17,"28.60 x 256","31.50 x 290",30.1,3800,mid,11438000,5660,478,51.00%,-0.9448280936,SLFT,ToOpen,"14:33:21 ET"
NOW,154.37,Put,188,2026-01-16T16:30:00-06:00,17,"32.60 x 286","35.50 x 299",35.5,3200,ask,11360000,14090,860,82.88%,-0.8448721634,MLFT,N/A,"15:46:25 ET"
MSTR,156.15,Put,510,2026-01-16T16:30:00-06:00,17,"352.40 x 48","354.50 x 2",354.5,320,ask,11344000,320,16,263.25%,-0.9676199037,MLFT,BuyToOpen,"15:45:04 ET"
COST,867.15,Put,960,2026-01-16T16:30:00-06:00,17,"90.65 x 5","96.55 x 18",90.65,1240,bid,11240600,2590,135,29.98%,-0.9456934617,MLFT,N/A,"15:39:54 ET"
ARM,111.05,Put,145,2026-01-16T16:30:00-06:00,17,"32.20 x 91","35.35 x 71",32.41,3450,mid,11181400,14620,2279,0.00%,0,MLFT,N/A,"15:33:24 ET"
TMUS,204.11,Put,240,2026-01-16T16:30:00-06:00,17,"35.25 x 50","37.45 x 100",36.3,3050,mid,11071400,4705,384,49.07%,-0.9320712575,SLFT,ToOpen,"14:33:01 ET"
MSFT,488.15,Put,525,2026-01-16T16:30:00-06:00,17,"34.60 x 105","38.50 x 96",36.9,3000,mid,11070000,12300,708,19.11%,-0.9762341697,SLFT,N/A,"15:51:10 ET"
TSLA,455.935,Put,520,2026-01-02T16:30:00-06:00,3,"62.95 x 76","65.35 x 67",62.95,1740,bid,10953300,1871,220,78.90%,-0.9656438637,MLFT,SellToOpen,"15:40:48 ET"
MSTR,156.257,Put,285,2026-01-16T16:30:00-06:00,17,"127.50 x 47","129.90 x 47",128.5,850,mid,10922500,1320,83,0.00%,0,SLFT,ToOpen,"15:51:01 ET"
AAPL,273.205,Put,295,2026-01-02T16:30:00-06:00,3,"20.70 x 10","22.55 x 105",21.77,5000,mid,10885000,10000,0,0.00%,0,MLFT,N/A,"14:38:14 ET"
AXON,574.235,Put,860,2026-01-16T16:30:00-06:00,17,"281.80 x 5","289.80 x 5",285.95,380,mid,10866100,380,1,86.80%,-0.9872911506,MLFT,ToOpen,"14:44:43 ET"
AAPL,273.205,Put,295,2026-01-02T16:30:00-06:00,3,"21.30 x 11","22.25 x 11",21.68,5000,mid,10840000,10000,0,0.00%,0,MLFT,N/A,"14:38:39 ET"
ABNB,137.11,Put,170,2026-01-16T16:30:00-06:00,17,"31.10 x 415","34.75 x 353",32.9,3275,mid,10774700,3525,439,52.08%,-0.9763198068,SLFT,ToOpen,"14:32:20 ET"
UNH,332.92,Put,450,2026-01-16T16:30:00-06:00,17,"114.80 x 46","121.90 x 92",119.65,900,mid,10768500,1925,85,79.05%,-0.9548773758,SLFT,N/A,"14:32:55 ET"
CRCL,80.04,Put,175,2026-01-16T16:30:00-06:00,17,"93.95 x 630","97.70 x 415",97.7,1100,ask,10747000,3140,500,273.82%,-0.8489163702,MLFT,N/A,"15:40:30 ET"
UNH,332.4,Put,600,2026-01-16T16:30:00-06:00,17,"266.85 x 50","270.10 x 50",268.25,400,mid,10730000,4015,98,133.48%,-0.9731865916,SLFT,N/A,"15:38:13 ET"
MSTR,156.257,Put,315,2026-01-16T16:30:00-06:00,17,"157.50 x 42","159.90 x 40",158.85,675,mid,10722300,1215,67,145.80%,-0.985319147,SLFT,ToOpen,"15:51:01 ET"
MRNA,30.9,Put,165,2026-01-16T16:30:00-06:00,17,"132.50 x 744","135.50 x 552",133.82,800,mid,10705600,4000,463,0.00%,0,MLFT,N/A,"14:47:57 ET"
UNH,332.92,Put,400,2026-01-16T16:30:00-06:00,17,"66.30 x 154","69.00 x 179",66.8,1600,mid,10688000,3410,151,46.50%,-0.9643548934,SLFT,N/A,"14:32:55 ET"
NOW,154.26,Put,192,2026-01-16T16:30:00-06:00,17,"36.60 x 253","39.40 x 282",38.1,2800,mid,10668000,4220,345,60.45%,-0.951842812,SLFT,ToOpen,"14:33:21 ET"
STZ,140.05,Put,270,2026-01-16T16:30:00-06:00,17,"128.20 x 9","132.10 x 8",128.2,830,bid,10640500,1730,172,140.83%,-0.9794392593,MLFT,N/A,"15:38:44 ET"
CRCL,80.04,Put,185,2026-03-20T16:30:00-05:00,80,"100.20 x 744","105.85 x 517",100.2,1060,bid,10621200,1060,133,0.00%,0,MLFT,SellToOpen,"15:41:58 ET"
ZS,228.03,Put,270,2026-01-16T16:30:00-06:00,17,"40.85 x 130","43.00 x 105",41.92,2525,mid,10584800,9126,673,0.00%,0,MLFT,N/A,"14:32:51 ET"
CRCL,80.04,Put,240,2026-03-20T16:30:00-05:00,80,"155.80 x 934","165.05 x 898",157.25,670,mid,10535700,1455,200,132.56%,-0.9439105285,MLFT,N/A,"15:41:58 ET"
CRWV,74.78,Put,120,2026-01-16T16:30:00-06:00,17,"43.75 x 607","46.45 x 499",45.14,2330,mid,10517600,2332,609,0.00%,0,MLFT,ToOpen,"14:33:48 ET"
CRWV,74.155,Put,125,2026-01-16T16:30:00-06:00,17,"49.00 x 629","51.50 x 321",51.5,2040,ask,10506000,6875,1134,153.87%,-0.9220681192,MLFT,N/A,"15:42:28 ET"
CRWV,74.155,Put,130,2026-01-16T16:30:00-06:00,17,"54.05 x 700","56.40 x 516",54.96,1910,mid,10497300,11385,828,0.00%,0,MLFT,N/A,"15:42:28 ET"
NFLX,93.855,Put,107,2026-01-16T16:30:00-06:00,17,"12.80 x 492","13.50 x 506",13.5,7770,ask,10489500,7841,5525,46.85%,-0.896453412,MLFT,BuyToOpen,"15:46:45 ET"
SBUX,85.455,Put,100,2026-01-16T16:30:00-06:00,17,"13.90 x 361","14.75 x 212",13.95,7495,mid,10455500,10897,1857,0.00%,0,SLFT,ToOpen,"14:33:12 ET"
FANG,151.64,Put,197.49,2026-01-16T16:30:00-06:00,17,"45.40 x 23","47.40 x 47",46.39,2250,mid,10437700,2250,306,75.76%,-0.9379918957,MLFT,ToOpen,"14:33:44 ET"
TSLA,455.935,Put,530,2026-01-02T16:30:00-06:00,3,"72.95 x 60","75.55 x 58",72.95,1430,bid,10431800,1430,110,85.38%,-0.9728995529,MLFT,SellToOpen,"15:40:48 ET"
TMUS,204.11,Put,270,2026-01-16T16:30:00-06:00,17,"64.70 x 88","67.45 x 96",66.3,1550,mid,10276500,3070,214,75.37%,-0.9509950281,SLFT,N/A,"14:33:01 ET"
NFLX,93.855,Put,110,2026-01-16T16:30:00-06:00,17,"15.55 x 509","16.30 x 58",15.55,6600,bid,10263000,53734,5715,0.00%,0,MLFT,N/A,"15:46:45 ET"
UNH,332.92,Put,590,2026-01-16T16:30:00-06:00,17,"253.40 x 48","261.20 x 48",255.98,400,mid,10239200,720,38,117.27%,-0.9862250321,MLFT,ToOpen,"14:32:57 ET"
UNH,332.3304,Put,600,2026-01-16T16:30:00-06:00,17,"266.80 x 48","270.55 x 48",268.6,380,mid,10206800,800,98,108.95%,-0.9948080867,SLFT,N/A,"12:27:12 ET"
ARM,111.05,Put,150,2026-01-16T16:30:00-06:00,17,"37.30 x 90","40.35 x 94",37.3,2730,bid,10182800,15568,889,0.00%,0,MLFT,N/A,"15:33:24 ET"
GOOGL,315.99,Put,310,2026-02-06T16:30:00-06:00,38,"12.10 x 8394","13.20 x 2",12.1,8394,bid,10156700,10300,565,36.37%,-0.402896414,AUTO,SellToOpen,"09:30:00 ET"
TMUS,203.985,Put,270,2026-01-16T16:30:00-06:00,17,"64.70 x 84","67.45 x 104",67.45,1490,ask,10050000,4560,214,91.33%,-0.9079171267,MLFT,N/A,"15:41:04 ET"
COIN,232.61,Put,380,2026-01-16T16:30:00-06:00,17,"143.40 x 68","149.40 x 74",143.4,700,bid,10038000,1500,79,0.00%,0,MLFT,N/A,"15:35:56 ET"
MSFT,488.15,Put,530,2026-01-16T16:30:00-06:00,17,"40.40 x 96","43.50 x 101",42,2380,mid,9996000,5055,108,22.67%,-0.963087154,SLFT,N/A,"15:51:10 ET"
NFLX,93.915,Put,112,2026-01-16T16:30:00-06:00,17,"16.25 x 181","20.15 x 211",18.85,5300,mid,9990500,5300,662,69.00%,-0.867221949,SLFT,ToOpen,"14:33:26 ET"
TTD,38.315,Put,115,2026-01-16T16:30:00-06:00,17,"74.90 x 651","78.25 x 623",76.75,1300,mid,9977500,1300,220,228.42%,-0.9808841566,SLFT,ToOpen,"14:33:00 ET"
USB,54.3067,Call,42.5,2026-01-16T16:30:00-06:00,17,"10.55 x 500","13.75 x 863",13.74,7200,mid,9892800,30240,1152,148.82%,0.82128839802373,MLFT,N/A,"15:51:37 ET"
NOW,154.18,Put,176,2026-01-16T16:30:00-06:00,17,"20.80 x 234","23.40 x 296",22.2,4455,mid,9890100,8910,1144,43.47%,-0.9186656,SLFT,N/A,"15:23:07 ET"
NOW,154.26,Put,200,2026-01-16T16:30:00-06:00,17,"44.60 x 253","47.50 x 287",46,2150,mid,9890000,3180,265,69.27%,-0.9567158747,SLFT,ToOpen,"14:33:21 ET"
AGNC,10.805,Call,10,2026-01-16T16:30:00-06:00,17,"0.75 x 10","0.86 x 10",0.86,114690,ask,9863300,216012,55299,24.69%,0.93108991936466,MLFT,N/A,"15:53:02 ET"
NOW,154.26,Put,176,2026-01-16T16:30:00-06:00,17,"20.80 x 240","23.40 x 284",22.1,4455,mid,9845500,4455,1144,42.93%,-0.9209801431,SLFT,ToOpen,"14:33:23 ET"
UNH,332.92,Put,440,2026-01-16T16:30:00-06:00,17,"103.40 x 46","111.20 x 50",108.95,900,mid,9805500,1800,74,59.92%,-0.9848792336,SLFT,N/A,"14:32:55 ET"
NFLX,93.9,Put,120,2026-01-16T16:30:00-06:00,17,"24.75 x 197","27.95 x 123",24.75,3960,bid,9801000,23865,1630,71.57%,-0.9383585771,MLFT,N/A,"15:45:54 ET"
UNH,332.46,Put,600,2026-01-16T16:30:00-06:00,17,"264.65 x 41","270.10 x 46",266.8,360,mid,9604800,3615,98,139.40%,-0.9665295822,SLFT,N/A,"15:38:01 ET"
NFLX,93.805,Put,104,2026-01-02T16:30:00-06:00,3,"8.30 x 518","10.95 x 383",10.09,9400,mid,9484600,9400,1941,0.00%,0,MLFT,ToOpen,"15:36:21 ET"
UNH,332.4,Put,400,2026-01-16T16:30:00-06:00,17,"66.30 x 175","68.40 x 150",66.3,1430,bid,9480900,6040,151,0.00%,0,MLFT,N/A,"15:40:12 ET"
COST,867.15,Put,1080,2026-01-16T16:30:00-06:00,17,"209.15 x 15","216.40 x 15",209.15,450,bid,9411700,775,33,0.00%,0,MLFT,SellToOpen,"15:39:15 ET"
NFLX,93.915,Put,118,2026-01-16T16:30:00-06:00,17,"22.85 x 1086","25.30 x 927",23.55,3990,mid,9396400,11671,961,70.15%,-0.9266724049,SLFT,N/A,"14:33:28 ET"
UNH,332.4,Put,450,2026-01-16T16:30:00-06:00,17,"114.80 x 46","118.30 x 88",118.3,790,ask,9345700,3395,85,77.54%,-0.9590683164,MLFT,N/A,"15:40:12 ET"
META,666.832,Call,700,2027-01-15T16:30:00-06:00,381,"92.70 x 134","93.50 x 74",93.3,1000,mid,9330000,2320,3964,36.24%,0.55524166396698,MLFT,N/A,"11:20:53 ET"
HD,346.682,Put,400,2026-01-16T16:30:00-06:00,17,"52.45 x 103","55.30 x 107",53.25,1740,mid,9265500,5443,375,0.00%,0,SLFT,N/A,"14:33:41 ET"
MSTR,156.257,Put,280,2026-01-16T16:30:00-06:00,17,"122.50 x 36","124.90 x 41",123.5,750,mid,9262500,1110,73,0.00%,0,SLFT,ToOpen,"15:51:01 ET"
LULU,211.4,Put,270,2026-01-16T16:30:00-06:00,17,"55.65 x 26","60.30 x 25",57.85,1600,mid,9256000,1600,164,68.66%,-0.9469099789,SLFT,ToOpen,"14:33:36 ET"
TMUS,204.11,Put,260,2026-01-16T16:30:00-06:00,17,"54.85 x 89","57.45 x 102",56,1650,mid,9240000,2350,163,67.17%,-0.9466067988,SLFT,ToOpen,"14:33:01 ET"
