Symbol,Price~,Type,Strike,Expires,DTE,"Bid x Size","Ask x Size",Trade,Size,Side,Premium,Volume,"Open Int",IV,Delta,Code,*,Time,"Exp Type"
GOOGL,312.19,Call,260,2026-02-20T16:30:00-06:00,53,"55.40 x 144","56.20 x 23",55.4,5000,bid,27700000,5003,15456,38.32%,0.91272853671524,SLCN,N/A,"09:56:35 ET",M
BABA,148.31,Put,185,2026-01-16T16:30:00-06:00,18,"35.00 x 473","38.85 x 270",36.92,7500,mid,27690000,11181,266,56.01%,-0.9585994969,MLFT,ToOpen,"15:28:00 ET",M
MSTR,156.98,Put,320,2026-01-16T16:30:00-06:00,18,"162.35 x 5","163.40 x 6",163.4,1620,ask,26470800,1850,343,159.77%,-0.9704806702,MLFT,BuyToOpen,"15:17:13 ET",M
COIN,234.63,Put,370,2026-01-16T16:30:00-06:00,18,"131.50 x 147","139.60 x 153",135,1900,mid,25650000,5655,379,99.30%,-0.980434316,SLFT,N/A,"15:28:49 ET",M
COST,866.82,Put,1060,2026-01-16T16:30:00-06:00,18,"189.00 x 34","196.50 x 42",192.79,1310,mid,25255400,2127,109,0.00%,0,MFSL,ToOpen,"15:17:39 ET",M
LULU,212,Put,350,2026-01-16T16:30:00-06:00,18,"135.05 x 21","140.20 x 37",137.7,1825,mid,25130200,5380,355,0.00%,0,SLFT,N/A,"15:28:19 ET",M
COST,866.82,Put,1005,2026-01-16T16:30:00-06:00,18,"134.00 x 34","141.15 x 21",137.53,1760,mid,24205200,2952,159,0.00%,0,MFSL,ToOpen,"15:17:39 ET",M
COIN,234.631,Put,340,2026-01-16T16:30:00-06:00,18,"104.00 x 286","107.10 x 245",104,2280,bid,23712000,3741,437,84.36%,-0.9762049331,MLFT,SellToOpen,"15:16:54 ET",M
COST,867.4,Put,1060,2026-01-16T16:30:00-06:00,18,"189.00 x 34","196.50 x 43",193,1200,mid,23160000,3327,109,47.52%,-0.9749577658,SLFT,N/A,"15:28:44 ET",M
COIN,234.631,Put,370,2026-01-16T16:30:00-06:00,18,"131.50 x 176","139.60 x 132",135.55,1700,mid,23043500,3755,379,99.35%,-0.9803888065,MFSL,N/A,"15:17:16 ET",M
